INFO 2025-03-19 22:29:24,651 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-19 22:29:24,779 autoreload File D:\MySQL\.venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1742313111.799156
DEBUG 2025-03-19 22:29:24,779 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\DLLs\_hashlib.pyd first seen with mtime 1733239692.0
DEBUG 2025-03-19 22:29:24,780 autoreload File D:\MySQL\.venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1742313111.8162699
DEBUG 2025-03-19 22:29:24,780 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1742313111.7295668
DEBUG 2025-03-19 22:29:24,780 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\socketserver.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,780 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\admin\migrations\0001_initial.py first seen with mtime 1742313110.6687028
DEBUG 2025-03-19 22:29:24,780 autoreload File D:\MySQL\.venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1742313111.8059902
DEBUG 2025-03-19 22:29:24,780 autoreload File D:\MySQL\.venv\Lib\site-packages\django\urls\base.py first seen with mtime 1742313111.7920597
DEBUG 2025-03-19 22:29:24,780 autoreload File D:\MySQL\.venv\Lib\site-packages\django\apps\registry.py first seen with mtime 1742313110.338841
DEBUG 2025-03-19 22:29:24,781 autoreload File D:\MySQL\.venv\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1742313111.6948674
DEBUG 2025-03-19 22:29:24,781 autoreload File D:\MySQL\.venv\Lib\site-packages\django\views\csrf.py first seen with mtime 1742313111.810527
DEBUG 2025-03-19 22:29:24,781 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\_opcode_metadata.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,781 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\models\lookups.py first seen with mtime 1742313111.7291896
DEBUG 2025-03-19 22:29:24,781 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1742313111.6948674
DEBUG 2025-03-19 22:29:24,781 autoreload File D:\MySQL\.venv\Lib\site-packages\django\templatetags\static.py first seen with mtime 1742313111.787903
DEBUG 2025-03-19 22:29:24,781 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1742313111.7366674
DEBUG 2025-03-19 22:29:24,781 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1742313111.6948674
DEBUG 2025-03-19 22:29:24,781 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\email\mime\nonmultipart.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,782 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,782 autoreload File D:\MySQL\.venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1742313111.8142664
DEBUG 2025-03-19 22:29:24,782 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\contextvars.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,782 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\pkgutil.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,782 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,782 autoreload File D:\MySQL\.venv\Lib\site-packages\django\core\management\color.py first seen with mtime 1742313111.6811044
DEBUG 2025-03-19 22:29:24,782 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\operator.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,783 autoreload File D:\MySQL\.venv\Lib\site-packages\django\contrib\auth\views.py first seen with mtime 1742313110.8269064
DEBUG 2025-03-19 22:29:24,783 autoreload File D:\MySQL\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1742313111.8174496
DEBUG 2025-03-19 22:29:24,783 autoreload File D:\MySQL\.venv\Lib\site-packages\django\forms\__init__.py first seen with mtime 1742313111.743573
DEBUG 2025-03-19 22:29:24,783 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\asyncio\proactor_events.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,786 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\http\cookies.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,787 autoreload File D:\MySQL\.venv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1742313109.338679
DEBUG 2025-03-19 22:29:24,789 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\json\scanner.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,790 autoreload File C:\Users\sananthaa\AppData\Local\Programs\Python\Python313\Lib\concurrent\futures\__init__.py first seen with mtime 1733239648.0
DEBUG 2025-03-19 22:29:24,791 autoreload File D:\MySQL\.venv\Lib\site-packages\django\core\files\images.py first seen with mtime 1742313111.673725
DEBUG 2025-03-19 22:29:24,791 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\models\enums.py first seen with mtime 1742313111.7270966
DEBUG 2025-03-19 22:29:24,792 autoreload File D:\MySQL\.venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1742313111.6948674
